start_time,end_time,start_time_iso,end_time_iso,amount_value,amount_currency,quantity,quantity_unit,line_item,user_id,api_key_id,project_id,organization_id,project_name,organization_name,user_email
1782950400,1783036800,2026-07-02T00:00:00,2026-07-03T00:00:00,3.824379000000000000000000000,usd,,,,,,,org-XaThCgRLZeAqjpPqMXzuHDF7,,TiendaDeFrutasLujan,
1783036800,1783123200,2026-07-03T00:00:00,2026-07-04T00:00:00,4.309577000000000000000000000,usd,,,,,,,org-XaThCgRLZeAqjpPqMXzuHDF7,,TiendaDeFrutasLujan,
1783123200,1783209600,2026-07-04T00:00:00,2026-07-05T00:00:00,1.792591000000000000000000000,usd,,,,,,,org-XaThCgRLZeAqjpPqMXzuHDF7,,TiendaDeFrutasLujan,
1783209600,1783296000,2026-07-05T00:00:00,2026-07-06T00:00:00,1.936465000000000000000000000,usd,,,,,,,org-XaThCgRLZeAqjpPqMXzuHDF7,,TiendaDeFrutasLujan,
1783296000,1783382400,2026-07-06T00:00:00,2026-07-07T00:00:00,3.756118000000000000000000000,usd,,,,,,,org-XaThCgRLZeAqjpPqMXzuHDF7,,TiendaDeFrutasLujan,
1783382400,1783468800,2026-07-07T00:00:00,2026-07-08T00:00:00,2.858267000000000000000000000,usd,,,,,,,org-XaThCgRLZeAqjpPqMXzuHDF7,,TiendaDeFrutasLujan,
1783468800,1783555200,2026-07-08T00:00:00,2026-07-09T00:00:00,5.211397000000000000000000000,usd,,,,,,,org-XaThCgRLZeAqjpPqMXzuHDF7,,TiendaDeFrutasLujan,
1783555200,1783641600,2026-07-09T00:00:00,2026-07-10T00:00:00,2.639363000000000000000000000,usd,,,,,,,org-XaThCgRLZeAqjpPqMXzuHDF7,,TiendaDeFrutasLujan,
1783641600,1783728000,2026-07-10T00:00:00,2026-07-11T00:00:00,5.288844000000000000000000000,usd,,,,,,,org-XaThCgRLZeAqjpPqMXzuHDF7,,TiendaDeFrutasLujan,
1783728000,1783814400,2026-07-11T00:00:00,2026-07-12T00:00:00,2.440975000000000000000000000,usd,,,,,,,org-XaThCgRLZeAqjpPqMXzuHDF7,,TiendaDeFrutasLujan,
1783814400,1783900800,2026-07-12T00:00:00,2026-07-13T00:00:00,2.036821000000000000000000000,usd,,,,,,,org-XaThCgRLZeAqjpPqMXzuHDF7,,TiendaDeFrutasLujan,
1783900800,1783987200,2026-07-13T00:00:00,2026-07-14T00:00:00,4.101117000000000000000000000,usd,,,,,,,org-XaThCgRLZeAqjpPqMXzuHDF7,,TiendaDeFrutasLujan,
1783987200,1784073600,2026-07-14T00:00:00,2026-07-15T00:00:00,3.153116000000000000000000000,usd,,,,,,,org-XaThCgRLZeAqjpPqMXzuHDF7,,TiendaDeFrutasLujan,
1784073600,1784160000,2026-07-15T00:00:00,2026-07-16T00:00:00,2.773206000000000000000000000,usd,,,,,,,org-XaThCgRLZeAqjpPqMXzuHDF7,,TiendaDeFrutasLujan,
1784160000,1784246400,2026-07-16T00:00:00,2026-07-17T00:00:00,2.754218000000000000000000000,usd,,,,,,,org-XaThCgRLZeAqjpPqMXzuHDF7,,TiendaDeFrutasLujan,
